en man; a man
att kasta; to throw
att skida; to ski
en golfklubba; a golf club
ishockey; ice hockey
ett lopp; a race
de är klara; they are done
upp; up
fram; forward
förbi; past
kom in; come in
ned; down
han hoppade; he jumped
att klättra; to climb
uppför; up the
nerför; down the
ur; out from
där uppe; up there
där framme; ahead there
där ute; out there
här inne; in here
här nere; down here
jag är hemma; I am home
ska vi gå ihop; shall we go together
inom; within
omkring; around
mitten; the middle
att sätta; to put
en flöjt; a flute
en fiol; a violin
musik; music
en kamera; a camera
en film; a film
att handla om; to be about
en saga; a story
konst; art
ett ljud; a sound
fotografi; photography
en sång; a song
en stil; a style
ett piano; a piano
en gitarr; a guitar
en hjälte; a hero
en dans; a dance
ett instrument; an instrument
mode; fashion
litteratur; literature
teater; theater
en konstnär; an artist
en teckning; a drawing
en tävling; a contest
en invigning; an inauguration
en tavla; a painting
en publik; an audience
en novell; a short story
en konsert; a concert
poesi; poetry
en trumma; a drum
ett band; a band
en samling; a collection
en scen; a scene
rund; round
att skapa; to create
att dansa; to dance
sjuk; ill
en hand; a hand
ett öga; an eye
hälsa; health
ett hjärta; a heart
vård; care
en kropp; a body
ett huvud; a head
ett ansikte; a face
en medicin; a medicine
ett nödfall; an emergency
cancer; cancer
en behandling; a treatment
glasögon; glasses
hår; hair
en ambulans; an ambulance
blod; blood
en sjukdom; a disease
patient; patient
ett sjukhus; a hospital
en operation; a surgery
hud; skin
en fot; a foot
en smärta; a pain
en syn; a vision
Det gör ont; It hurts
ett virus; a virus
att blöda; to bleed
en blick; a glance
en hjärna; a brain
en arm; an arm
ett ben; a leg
ett sår; a wound
en mun; a mouth
en olycka; an accident
en hals; a throat
ett finger; a finger
ett öra; an ear
ett bröst; a breast
en tand; a tooth
en tunga; atongue
att blunda; to close your eyes
att hosta; to cough
en näsa; a nose
en läpp; a lip
en sjuksköterska; a nurse
kondition; fitness
en rygg; a back
att nysa; to sneeze
en tå; a toe
en kind; a cheek
gravid; pregnant
att andas; to breathe
att vara förkyld; to have a cold
en nagel; a nail
en mage; a stomach
jag svettas; I am sweating
ett krig; a war
säkerhet; security
en regering; a government
en statsminister; a prime minister
makt; power
en politiker; a politician
ett samhälle; a society
en president; a president
att rösta; to vote
en strategi; a strategy
ett råd; a (piece of) advice
parti; party
ett sammanträde; a meeting session
en demokrati; a democracy
fred; peace
frihet; freedom
att kräva; to demand
en armé; an army
en tjuv; a thief
att stjäla; to steal
politik; policy
våld; violence
ett brott; a crime
att begå; to commit
en ledare; a leader
en riksdag; a parliament
att fatta ett beslut; to make a decision
en ordförande; a chairperson
ett tal; a speech
hot; threat
en konflikt; a conflict
en flotta; a fleet
en kandidat; a candidate
en riksdagsledamot; a member of parliament
ett sameting; a Sami parliament
en anledning; a reason
en kris; a crisis
en strejk; a strike
en borgmästare; a mayor
en domstol; a court of law
framsteg; progress
en pistol; a gun
att skjuta; to shoot
att äga; to own
ett vapen; a weapon
ett gevär; a rifle
att döda; to kill
ihjäl; to death
att komma överens; to agree to
en ägare; an owner
en invånare; an inhabitant
en sökning; a search
information; information
att söka; to search
en text; a text
en kommentar; a comment
ett nätverk; a network
press; press
ett språk; a language
ett vykort; a postcard
ett meddelande; a message
en kanal; a channel
ett program; a program
nyheter; news
en berättelse; a tale
ett frimärke; a postal stamp
tillgång; access
en journalist; a journalist
kommunikation; communication
att ladda ner; to download
nätet; the net
internet; internet
en underskrift; a signature
en intervju; an interview
ett lösenord; a password
en läsare; a reader
en mening; a sentence
en bokstav; a letter
att gälla; to be valid
användarnamn; username
överraskad; surprised
misslyckad; unsuccessful
inbjuden; invited
uppäten; eaten up
irriterad; irritable
öppnad; opened
stängd; closed
stulen; stolen
överraskande; surprising
irriterande; annoying
en simmande fisk; a swimming fish
en sovande björn; a sleeping bear
en döende blomma; a dying flower
en hängande växt; a hanging plant
en sittande hund; a sitting dog
ett liggande lejon; a lying lion
en flygande fågel; a flying bird
en springande höna; a running chicken
ett lekande barn; a playing child
en blivande fru; a future wife
en fungerande tunnelbana; a functioning subway
en talande delfin; a talking dolphin
levande skuggor; living shadows
ett givande träd; a giving tree
jag har lärt mig; I have learned
jag har bestämt mig; I have made a decision
en forskning; a research
en detalj; en detail
en teknologi; en technology
en storlek; a size
en artikel; an article
en analys; an analysis
en linje; a line
el; electricity
en metod; a method
en vikt; a weight
ett vetenskap; a science
en energi; an energy
en längd; a length
en bredd; a width
ett eluttag; an outlet
en volym; a volume
att höja; to raise
att sänka; to lower
en hastighet; a speed
ett avstånd; a distance
en centimeter; a centimeter
en skala; a scale
en yta; a surface
ytlig; superficial
en definition; en definition
en temperatur; a temperature
att väga; to weigh
ett kilo; a kilo
en teknik; a technique
en massa; a mass
en uppgift; an assignment
ett laboratorium; a laboratory
en höjd; a height
fysik; physics
en filosofi; a philosophy
en prick; a dot
ett nobelpris; a Nobel Prize
kemi; chemistry
en formel; a formula
att mäta; to measure
ett mått; a measurement
ett begrepp; a concept
geografi; geography
en forskare; a researcher
en slutsats; a conclusion
alkohol; alcohol
att upptäcka; to discover
att forska; to research
att dra; to pull
en akademi; an academy
jag skulle ha; I would have
jag har ändrat; I have changed
hon vore perfekt; she would be perfect
en gud; a god
en religion; a religion
andlig; spiritual
ett troll; a troll
en tomte; en elf
ett spöke; a ghost
en gudinna; a goddess
en ande; a spirit
en bön; a prayer
nåd; grace
helig; holy
en själ; a soul
en moské; a mosque
en ängel; an angel
osynlig; invisible
en påve; a pope
ett öde; a destiny
en grav; a grave
en häxa; a witch
en trollkarl; a wizard
de kritiseras; they are criticized
han väljs av; he is selected by
den ska höjas; it will be increased
den höjs; it is increased
huset byggs; the house is built
han ska flyttas; he will be moved
han kritiserades av; he was criticized by
den byggdes i år; it was built this year
han ska stoppas; he will be stopped
den ska tryckas; it will be printed
den var överkörd; it was run over
jag var rånad; I was robbed
hon var stoppad; she was stopped
som jag var behandlad; as I was treated
hon var förhörd; she was interrogated
den var bakad; it was baked
han var älskad; he was loved
den var skadad; it was damaged
den är ritad; it is drawn
den var tillverkad; it was manufactured
den var tryckt; it was printed
ett företag; a company
en skatt; a tax
en ränta; an interest
en skuld; a debt
procent; percent
en styrelse; a board
en försäkring; an insurance
en ekonomi; an economy
en investering; an investment
en förmögenhet; a fortune
en risk; a risk
en industri; an industry
ett erbjudande; an offer
guld; gold
konkurrens; competition
en budget; a budget
ett kreditkort; a credit card
en produkt; a product
ett varumärke; a brand
rea; sale
handel; trade
reklam; advertising
en kostnad; a cost
en organisation; an organisation
ett öre; a cent
ett avtal; an deal
en valuta; a currency
ett möte; a meeting
ett pris; a price
global; global
att minska; to reduce
ett kontrakt; a contract
en kund; a customer
en check; a check
kontant; cash
en vinst; a profit
en förlust;  a loss
konkurs; bankruptcy
en lön; a salary
en aktie; a share
godis; candy
läsk; soda
en födelsedag; a birthday
en present; a gift
ett kalas; a party
att fylla år; to have a birthday
att fira; to celebrate
fyrverkerier; fireworks
en inbjudan; an invitation
påsk; easter
en kräftskiva; a crayfish party
snaps; snaps
ett smörgåsbord; a smorgasbord
champagne; champagne
nyår; new year's
en helgdag; a holiday
en nationaldag; a national day
grattis; congratulations
